YEAR,NAME,TEAM,AVG,G,PA,AB,R,H,D,T,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH_BA,TBPI
2014,모창민,NC,0.263,122,468,419,62,110,15,0,16,173,72,8,4,37,0,0,82,13,0.413,0.32,0.733,22,0.263,0.667,-0.39005867
2013,모창민,NC,0.276,108,436,395,57,109,24,3,12,175,51,2,1,37,0,1,68,11,0.443,0.339,0.782,36,0.351,0.0,-0.39119643
2004,이대호,롯데,0.248,132,514,444,52,110,26,0,20,196,68,6,6,38,0,20,78,21,0.441,0.331,0.772,23,0.248,0.0,-0.3917124
2021,허경민,두산,0.278,136,518,468,61,130,24,1,5,171,59,3,3,36,1,8,35,21,0.365,0.338,0.703,34,0.285,0.444,-0.3921122
2015,이종욱,NC,0.268,125,504,440,63,118,25,2,5,162,52,4,3,54,6,3,78,5,0.368,0.35,0.718,29,0.256,0.0,-0.39231408
2007,최준석,두산,0.244,121,451,386,48,94,20,2,16,166,75,5,7,51,1,2,95,10,0.43,0.33,0.76,23,0.279,0.2,-0.39240974
2023,이재현,삼성,0.249,143,538,458,61,114,19,2,12,173,60,16,6,52,0,6,89,9,0.378,0.33,0.708,24,0.24,0.0,-0.39454848
2015,허경민,두산,0.317,117,453,404,64,128,20,2,1,155,41,8,3,31,0,7,42,11,0.384,0.373,0.757,36,0.274,0.0,-0.39460033
2019,김재호,두산,0.268,130,470,377,51,101,22,0,4,135,48,8,11,67,3,7,58,10,0.358,0.379,0.737,22,0.257,0.5,-0.39537883
2022,강승호,두산,0.264,134,487,444,54,117,28,1,10,177,62,6,5,29,0,3,100,8,0.399,0.31,0.709,34,0.299,0.25,-0.39543837
2011,알드리지,넥센,0.237,117,480,414,55,98,20,1,20,180,73,0,5,59,2,2,139,5,0.435,0.331,0.766,23,0.301,0.0,-0.39586717
